"LHS","RHS","support","confidence","coverage","lift","count"
"{ENSG00000077152_Low,ER=Positive}","{PR=Positive}",0.372850678733032,0.871035940803383,0.428054298642534,1.36330696117243,412
"{ENSG00000077152_Low,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.372850678733032,0.871035940803383,0.428054298642534,1.36330696117243,412
"{ENSG00000060718_High,ER=Positive}","{PR=Positive}",0.332126696832579,0.869668246445498,0.381900452488688,1.36116630640549,367
"{ENSG00000060718_High,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.332126696832579,0.869668246445498,0.381900452488688,1.36116630640549,367
"{ENSG00000169607_Low,ENSG00000183856_Low,ER=Positive}","{PR=Positive}",0.301357466063348,0.869451697127937,0.346606334841629,1.36082737298353,333
"{ENSG00000152253_Low,ENSG00000170312_Low,ER=Positive}","{PR=Positive}",0.310407239819005,0.868354430379747,0.357466063348416,1.35910997956037,343
"{ENSG00000152253_Low,ENSG00000169607_Low,ER=Positive}","{PR=Positive}",0.304072398190045,0.868217054263566,0.350226244343891,1.35889496453433,336
"{ENSG00000079308_High,ER=Positive}","{PR=Positive}",0.345701357466063,0.868181818181818,0.398190045248869,1.35883981457636,382
"{ENSG00000079308_High,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.345701357466063,0.868181818181818,0.398190045248869,1.35883981457636,382
"{ENSG00000077152_Low,ENSG00000090889_Low,ER=Positive}","{PR=Positive}",0.314027149321267,0.8675,0.361990950226244,1.35777266288952,347
"{ENSG00000117650_Low,ENSG00000183856_Low,ER=Positive}","{PR=Positive}",0.301357466063348,0.8671875,0.347511312217195,1.35728355169972,333
"{ENSG00000090889_Low,ER=Positive}","{PR=Positive}",0.37737556561086,0.866943866943867,0.435294117647059,1.35690222800704,417
"{ENSG00000090889_Low,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.37737556561086,0.866943866943867,0.435294117647059,1.35690222800704,417
"{ENSG00000158402_Low,ER=Positive}","{PR=Positive}",0.357466063348416,0.866228070175439,0.412669683257919,1.35578189453804,395
"{ENSG00000158402_Low,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.357466063348416,0.866228070175439,0.412669683257919,1.35578189453804,395
"{ENSG00000127564_Low,ER=Positive}","{PR=Positive}",0.360180995475113,0.865217391304348,0.416289592760181,1.35420002463358,398
"{ENSG00000127564_Low,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.360180995475113,0.865217391304348,0.416289592760181,1.35420002463358,398
"{ENSG00000095637_High,ER=Positive}","{PR=Positive}",0.341176470588235,0.864678899082569,0.394570135746606,1.35335720040544,377
"{ENSG00000095637_High,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.341176470588235,0.864678899082569,0.394570135746606,1.35335720040544,377
