"Feature","Gain","Cover","Frequency"
"ENSG00000280411",0.00109411604284187,0.000273690856769219,0.000930665425779432
"ENSG00000160182",0.00109381402617328,0.000512893883609173,0.00139599813866915
"ENSG00000162949",0.00107928047457114,0.00120140549204485,0.00186133085155886
"ENSG00000172061",0.00107599406825459,0.000690510148426128,0.0027919962773383
"ENSG00000148735",0.00107056660807175,0.00213663760946437,0.00325732899022801
"ENSG00000164120",0.00105408285987579,0.000744532790885055,0.00232666356444858
"ENSG00000064886",0.00105386826725323,0.000497241756819821,0.00139599813866915
"ENSG00000225972",0.00105321279572336,0.0015718673688057,0.0027919962773383
"ENSG00000134757",0.0010510655470003,0.00230837755933835,0.00139599813866915
"ENSG00000185686",0.00104477199015757,0.00761897818530006,0.00325732899022801
"ENSG00000134762",0.00103139005546758,0.00317381840434174,0.00139599813866915
"ENSG00000255774",0.00102413344201581,0.000612075347214463,0.000930665425779432
"ENSG00000117983",0.00102221227076212,0.00188964812187111,0.00372266170311773
"ENSG00000102837",0.0010116774643994,0.00117537807576908,0.00325732899022801
"ENSG00000211898",0.001011465586377,0.00074723860482654,0.00139599813866915
"ENSG00000077274",0.000970502826870461,0.00514047623488609,0.00186133085155886
"ENSG00000211648",0.000969862459654275,0.00119079493665778,0.00139599813866915
"ENSG00000187608",0.000966700716129486,0.00317418861146008,0.00186133085155886
"ENSG00000188001",0.000963692521526319,0.00253177996078167,0.00232666356444858
"ENSG00000101443",0.000958408447915798,0.00128716628480436,0.0027919962773383
"ENSG00000184564",0.000950833739009899,0.00245624107824104,0.00186133085155886
"ENSG00000262902",0.000941243474291054,0.00183759762768423,0.00186133085155886
"ENSG00000186868",0.000940477957047182,0.00182319558259748,0.000930665425779432
"ENSG00000062038",0.000938841679599561,0.000774717023318605,0.00232666356444858
"ENSG00000117472",0.00091591562839337,0.000395261987748525,0.00139599813866915
"ENSG00000050628",0.000915124635671115,0.00203694439959344,0.00372266170311773
"ENSG00000003989",0.000909357780863696,0.00183518296621603,0.00232666356444858
"ENSG00000233913",0.000905506598504524,0.00660237353098284,0.0027919962773383
"ENSG00000138615",0.000904418183052404,0.00232121526243185,0.00325732899022801
"ENSG00000138696",0.000904326582698436,0.00203394658960776,0.00139599813866915
"ENSG00000134240",0.000903216589655336,0.000895561568598597,0.000930665425779432
"ENSG00000197977",0.00090000131978389,0.00037170002796061,0.00139599813866915
"ENSG00000104267",0.000890460126683242,0.00129126543686509,0.000930665425779432
"ENSG00000196091",0.000889600503300644,0.000567078853212766,0.00232666356444858
"ENSG00000165816",0.000882477810123214,0.000924744482364717,0.00139599813866915
"ENSG00000113924",0.000879448733980388,0.00119943177714111,0.00232666356444858
"ENSG00000196090",0.000878130691197159,0.0022906912516877,0.00418799441600745
"ENSG00000047457",0.000877026405774898,0.00483148151384455,0.00232666356444858
