"gene","baseMean","log2FC","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000123243",2991.88025559474,-4.00995484477502,0.136190289421328,-29.4437647633566,1.5130118249452e-190,6.14211878498459e-188,"Down"
"ENSG00000169679",1543.56927785842,3.30094664470421,0.112156282330732,29.4316695962711,2.16098965103345e-190,8.63764186515385e-188,"Up"
"ENSG00000155886",323.599345569221,4.96857151115162,0.168893686196772,29.4183377900989,3.2004991156689e-190,1.25988132612415e-187,"Up"
"ENSG00000165304",1187.6999587344,3.64481411265239,0.124242378494844,29.3363195135842,3.57149759458338e-189,1.38494147768464e-186,"Up"
"ENSG00000108960",1757.62495092895,-2.83636896873661,0.096854692011269,-29.2847864139261,1.62031028149468e-188,6.19077667992843e-186,"Down"
"ENSG00000280339",296.368583020869,-3.59546714736344,0.123094526828323,-29.2089927960643,1.49084881413469e-187,5.61358594783091e-185,"Down"
"ENSG00000164330",1155.71502578042,-3.06511390804168,0.105097020415828,-29.1646128112311,5.45303589368514e-187,2.02393322219762e-184,"Down"
"ENSG00000186642",789.162176686956,-3.12830019168553,0.107337470755776,-29.1445305135176,9.79968749004589e-187,3.58599550251947e-184,"Down"
"ENSG00000079435",3261.93378483085,-4.52771028520734,0.155443551241455,-29.1276817149803,1.60199657399436e-186,5.78076013735383e-184,"Down"
"ENSG00000072571",774.015449009794,3.03772821130001,0.104582026104203,29.0463698635299,1.71013863017537e-185,6.08645366446388e-183,"Up"
"ENSG00000161888",644.290399312845,3.16670490023287,0.109061978376457,29.0358285020481,2.3234874934946e-185,8.15763899574099e-183,"Up"
"ENSG00000237649",2005.88256855543,3.17444352053422,0.109352018302611,29.0295832652082,2.78598088502219e-185,9.65100924983488e-183,"Up"
"ENSG00000077616",109.908041661122,-2.90308413008319,0.100063430308807,-29.012438621422,4.58478989933758e-185,1.56733455756171e-182,"Down"
"ENSG00000105971",2713.69126627993,-2.90497047025578,0.100140793654223,-29.0088620656072,5.0866806405442e-185,1.71632532106466e-182,"Down"
"ENSG00000186185",687.706845675895,3.56728012362136,0.123023906744363,28.9966415310966,7.2534337353653e-185,2.41604438305802e-182,"Up"
"ENSG00000075702",768.437046681785,2.88619993769313,0.099724526239037,28.9417262386887,3.56666947785615e-184,1.17298278106558e-181,"Up"
"ENSG00000171848",3210.77010942612,3.4166443261884,0.118185825771589,28.9090870574577,9.1784609766531e-184,2.9808199329303e-181,"Up"
"ENSG00000258311",26.8519161082388,-2.71194542747936,0.0938696949915838,-28.8905320052708,1.5701206150157e-183,5.03621033317568e-181,"Down"
"ENSG00000126787",1019.9336970641,3.31211952232023,0.114753901782451,28.8628052804629,3.50000982030488e-183,1.10894823343099e-180,"Up"
"ENSG00000185271",33.677924359431,-3.80002140179504,0.131676798043655,-28.8587014436303,3.94065696555962e-183,1.23352058580969e-180,"Down"
"ENSG00000122729",3644.44474102318,-2.03864810652877,0.0707043116053979,-28.8334340613696,8.17504252255753e-183,2.52852118784009e-180,"Down"
"ENSG00000175445",8236.49640540719,-4.71521362882556,0.164416449416462,-28.6784786167111,7.0793594418881e-181,2.16386867834935e-178,"Down"
