"gene","HR","lower_95","upper_95","p_value"
"ENSG00000076382",1.04029353554251,0.856688535534472,1.26324865479421,0.69010202904572
"ENSG00000022267",0.969249541552131,0.831057940930806,1.13042018796766,0.690656497208265
"ENSG00000135437",0.915273886848504,0.576859748727111,1.4522183074747,0.706999516901355
"ENSG00000186185",1.0331293718275,0.868299776685761,1.22924861619417,0.713226582725344
"ENSG00000088325",1.03157396741576,0.8729747426693,1.21898698580448,0.715129705230983
"ENSG00000174371",0.968268219897797,0.813682787477418,1.1522221682612,0.716340395442554
"ENSG00000183549",1.05839248667821,0.775121619459258,1.44518566859012,0.721020493953449
"ENSG00000101605",1.04977777184777,0.802572492454258,1.37312626663251,0.722895157442078
"ENSG00000137745",0.980857456370322,0.881241532211903,1.09173400770439,0.7235440952032
"ENSG00000142945",1.02947111106558,0.868639848851808,1.2200807618019,0.737534310105315
"ENSG00000186642",0.964105958460579,0.778154298289948,1.19449356147211,0.738110657132577
"ENSG00000183856",1.02873441589641,0.866853805389864,1.22084542038061,0.745712377856502
"ENSG00000160161",0.974676906733423,0.828303493111926,1.146916656056,0.75737235925946
"ENSG00000121152",1.02994369236865,0.850179965459931,1.24771701586275,0.763049495399948
"ENSG00000035499",0.968407018081203,0.783241621176015,1.19734718803736,0.766849301007979
"ENSG00000156970",1.02932858635697,0.848586527618832,1.24856724000166,0.769202331994625
"ENSG00000075218",1.0289712648403,0.849285283668013,1.24667397896525,0.770545140151649
"ENSG00000173641",1.02680516168442,0.853310552283354,1.23557459501763,0.779386914253523
"ENSG00000077616",1.05700340978805,0.706279029815719,1.58189067087986,0.787547652035907
"ENSG00000109805",1.0237097143157,0.852961714032535,1.22863847455686,0.801276201243489
"ENSG00000170312",0.977151645794587,0.811913464238528,1.17601860411882,0.806808828554784
"ENSG00000123975",1.02839353980762,0.820078345993783,1.28962467779398,0.808446750131801
"ENSG00000143228",1.02075061142979,0.860710204669653,1.21054892236834,0.813397112139451
"ENSG00000075702",1.02586626475239,0.828044498222361,1.27094811379861,0.815262085944627
"ENSG00000089685",1.01838673911037,0.86950081399559,1.19276662390925,0.821253350993697
"ENSG00000143476",0.97983614479391,0.804355773930849,1.19359977482692,0.839675530886128
"ENSG00000169418",0.983152742452668,0.798483008427159,1.21053210248791,0.872831088863176
