"miRNA","mRNA","correlation"
"hsa-mir-577","ENSG00000104332",0.526157006347287
"hsa-mir-139","ENSG00000161649",0.525764640703
"hsa-mir-758","ENSG00000160801",0.52470226637361
"hsa-let-7c","ENSG00000182916",0.524499006719295
"hsa-mir-210","ENSG00000168497",-0.523109151851278
"hsa-mir-135b","ENSG00000163064",0.522859389489701
"hsa-mir-135b","ENSG00000104332",0.522661548187408
"hsa-mir-150","ENSG00000137033",0.522545479081728
"hsa-mir-410","ENSG00000166482",0.522536451907445
"hsa-let-7c","ENSG00000154721",0.522213565397151
"hsa-mir-379","ENSG00000234456",0.522200810698529
"hsa-mir-135b","ENSG00000227036",0.521492405693766
"hsa-mir-934","ENSG00000256124",0.521351852540127
"hsa-mir-190b","ENSG00000143452",-0.520875533277459
"hsa-mir-150","ENSG00000117594",0.520765611181615
"hsa-mir-125b-2","ENSG00000149451",0.52066752414302
"hsa-mir-135b","ENSG00000168350",-0.520588359305061
"hsa-mir-411","ENSG00000166482",0.520539197858646
"hsa-mir-190b","ENSG00000099769",0.520201020581356
"hsa-mir-190b","ENSG00000258910",-0.520200104594591
"hsa-let-7c","ENSG00000017427",0.518986341375462
"hsa-mir-577","ENSG00000149970",0.518974921939344
"hsa-mir-150","ENSG00000269404",0.517854858736337
"hsa-let-7c","ENSG00000149575",0.517849925349058
"hsa-mir-150","ENSG00000049249",0.51780960732728
"hsa-mir-150","ENSG00000235304",0.517381422982235
"hsa-mir-139","ENSG00000277494",0.516920444241613
"hsa-mir-190b","ENSG00000117472",0.516612435630306
"hsa-mir-934","ENSG00000183674",0.516384839794811
"hsa-mir-577","ENSG00000006377",0.516309130552259
"hsa-mir-758","ENSG00000172935",0.516217519907889
"hsa-mir-135b","ENSG00000106541",-0.516152093556603
"hsa-mir-379","ENSG00000182916",0.516137634995005
"hsa-let-7c","ENSG00000164946",0.516128482950171
"hsa-mir-337","ENSG00000149451",0.515951943570941
"hsa-mir-125b-1","ENSG00000149451",0.515942355674918
"hsa-mir-375","ENSG00000160180",0.515620142586282
"hsa-mir-150","ENSG00000154451",0.51561049831678
"hsa-mir-577","ENSG00000224853",0.515556032176037
"hsa-mir-150","ENSG00000085563",0.515541572338949
"hsa-mir-150","ENSG00000103522",0.515083815122846
"hsa-mir-150","ENSG00000135604",0.514556655562645
"hsa-mir-758","ENSG00000234456",0.514533465995533
"hsa-mir-379","ENSG00000233608",0.51447247056488
"hsa-mir-577","ENSG00000064787",-0.514234157810182
"hsa-mir-934","ENSG00000227036",0.514001085843641
"hsa-mir-135b","ENSG00000203688",0.513823360793724
"hsa-mir-379","ENSG00000183722",0.51369610480138
"hsa-let-7c","ENSG00000189129",0.51352551114143
"hsa-mir-432","ENSG00000166482",0.513381132473476
"hsa-mir-190b","ENSG00000105173",-0.512872784559011
"hsa-let-7c","ENSG00000106809",0.512762783757833
"hsa-mir-379","ENSG00000177363",0.51266242879714
"hsa-mir-139","ENSG00000165810",0.512431775024406
"hsa-mir-135b","ENSG00000143452",0.512154399828476
"hsa-mir-135b","ENSG00000254416",0.511758615165541
"hsa-mir-210","ENSG00000102010",-0.511334750186494
"hsa-mir-577","ENSG00000227036",0.511287393905995
"hsa-mir-144","ENSG00000188536",0.510947950239391
"hsa-mir-135b","ENSG00000231367",0.510830552271727
"hsa-mir-577","ENSG00000162078",-0.51059504133544
"hsa-let-7c","ENSG00000144642",0.510489831108992
"hsa-mir-577","ENSG00000026559",0.510247872823965
"hsa-mir-381","ENSG00000172935",0.510054751406782
"hsa-mir-139","ENSG00000187800",0.509778722061431
"hsa-mir-99a","ENSG00000177363",0.509591010950198
"hsa-mir-449a","ENSG00000213085",0.509496639001993
"hsa-mir-99a","ENSG00000154721",0.5091847086602
"hsa-mir-135b","ENSG00000173467",-0.509129015892797
"hsa-mir-210","ENSG00000126895",-0.509038897204646
"hsa-mir-934","ENSG00000182253",0.508661529160797
"hsa-mir-889","ENSG00000166482",0.50859989200835
"hsa-let-7c","ENSG00000231246",0.508255076099697
"hsa-mir-934","ENSG00000233682",0.508163730993295
"hsa-mir-135b","ENSG00000026559",0.507926023867548
"hsa-let-7c","ENSG00000160801",0.507640709192256
"hsa-mir-139","ENSG00000141338",0.5076118894192
"hsa-mir-379","ENSG00000106809",0.507538889821771
"hsa-mir-135b","ENSG00000204019",0.507341606352255
"hsa-mir-99a","ENSG00000164946",0.507171264036199
"hsa-mir-337","ENSG00000106809",0.506997843206201
"hsa-mir-934","ENSG00000106714",0.506396229707451
"hsa-mir-381","ENSG00000233608",0.506281739475437
"hsa-mir-139","ENSG00000170989",0.505730060551891
"hsa-mir-5683","ENSG00000225670",0.505297606006971
"hsa-mir-449b","ENSG00000213085",0.50504961683639
"hsa-mir-190b","ENSG00000156219",-0.504863533710934
"hsa-mir-934","ENSG00000154493",0.504836401073822
"hsa-let-7c","ENSG00000233608",0.504687208317412
"hsa-mir-150","ENSG00000177494",0.50460055747411
"hsa-mir-577","ENSG00000158186",0.504509917385045
"hsa-mir-577","ENSG00000152192",0.503906127969444
"hsa-mir-125b-2","ENSG00000166482",0.503609479487051
"hsa-mir-204","ENSG00000154263",0.503228536219766
"hsa-mir-519a-1","ENSG00000258910",0.503202525655569
"hsa-mir-934","ENSG00000185915",0.503182955345306
"hsa-mir-337","ENSG00000234456",0.503040839892068
"hsa-mir-577","ENSG00000069482",0.502944309143827
"hsa-mir-934","ENSG00000171428",-0.502716137434002
"hsa-mir-135b","ENSG00000109846",0.50269378646246
"hsa-mir-190b","ENSG00000204019",-0.502272443068116
"hsa-mir-190b","ENSG00000176058",0.502270951260706
"hsa-mir-410","ENSG00000160801",0.502006043889725
"hsa-mir-190b","ENSG00000187045",0.501951451497513
"hsa-mir-577","ENSG00000152977",0.501893996306095
"hsa-mir-577","ENSG00000154928",0.50188060718938
