"gene","log2FC","padj"
"ENSG00000180269",-6.09274519321198,6.72882788417827e-59
"ENSG00000166317",-4.22269307096928,6.87008090867414e-59
"ENSG00000196620",-4.2063676992106,6.98307491044179e-59
"ENSG00000230882",-2.41665600888988,1.09096425312361e-58
"ENSG00000071051",1.07704618351562,1.1583728092508e-58
"ENSG00000134453",0.817485667246658,1.29704397711684e-58
"ENSG00000254042",-3.07178798103262,1.43354650395189e-58
"ENSG00000131759",-1.57456819881988,1.44387015940581e-58
"ENSG00000173013",-1.56714474521721,1.85710162780705e-58
"ENSG00000278385",-1.59459414351097,1.86992830927071e-58
"ENSG00000137449",-1.51487361749127,3.92556428162969e-58
"ENSG00000283413",-4.35522876002058,4.47751012120562e-58
"ENSG00000279205",-2.64039247733967,5.67506175617965e-58
"ENSG00000124664",-2.28755675797236,8.47761465928871e-58
"ENSG00000092758",3.41853708953109,9.87543941183853e-58
"ENSG00000108576",-4.2534040504194,1.03490314181962e-57
"ENSG00000163872",0.996407047063746,1.0540740411948e-57
"ENSG00000124935",-4.99058008569452,1.27785828215781e-57
"ENSG00000154548",2.6326400241961,1.28599415031675e-57
"ENSG00000085831",-1.78950974733072,1.36101703921631e-57
"ENSG00000214313",-2.60234821431618,1.45232899166789e-57
"ENSG00000110171",-1.42577153938071,1.531206279121e-57
"ENSG00000278918",-2.15772479929805,1.531206279121e-57
"ENSG00000164219",-0.816242458548873,1.60561565429747e-57
"ENSG00000152582",-1.4560072339867,2.00029582935089e-57
"ENSG00000101435",-6.48229785750898,2.00329449700138e-57
"ENSG00000114737",-1.53427237791518,2.16414332429013e-57
"ENSG00000112242",1.22339175607186,2.23994364527622e-57
"ENSG00000182575",-2.41734866465679,3.38214287231038e-57
"ENSG00000050628",-2.43041859620219,5.6516736137019e-57
"ENSG00000269516",-2.8187295772901,6.71096217727078e-57
"ENSG00000164938",-1.42629667555345,7.48602511060824e-57
"ENSG00000226080",-4.80571986110831,7.54871457457069e-57
"ENSG00000286593",-3.33190898822071,8.14379599370103e-57
"ENSG00000213064",1.32430224774899,8.22362531986829e-57
"ENSG00000196557",-2.99064428809586,8.84275238130958e-57
